unique_key,blockchain,block_month,block_date,block_time,block_number,tx_hash,evt_index,trace_address,token_standard,tx_from,tx_to,tx_index,from,to,contract_address,symbol,amount_raw,amount,price_usd,amount_usd
f867813014774a6a09c0fd089e5a990c,ethereum,2024-11-01,2024-11-07,2024-11-07 18:14:59.000 UTC,21137494.0,0x85ded99fa52ddba759cfc62891abcadcdc75beeb2e5eb517b25f241646061bbb,230,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,74,0xf51e645d735903bb30ad006ab3f920f057ad4fa5,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,64208000000000000000000,64207.99999999999,0.261871,16814.213168
d166411d7bd2fb2489d76f05fd628f17,ethereum,2024-11-01,2024-11-07,2024-11-07 18:14:23.000 UTC,21137491.0,0x046399f70542ad788b49ed87bffb96f3dc608ca7b2c8a7fac6d133fda48836f5,280,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,36,0x5012a449c79dae5b3174834313170e6f87fb3326,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,396100000000000000000000,396100.0,0.261871,103727.10310000001
1e64f99a9dde6cd511eafaafec7b13b0,ethereum,2024-11-01,2024-11-07,2024-11-07 18:10:47.000 UTC,21137473.0,0x04cf260fc90e25963a5eb6f112d1210cb8cea26ad85e7b3c18edf9f1924f74d2,221,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,51,0x4a35e568c6e1a6f9823dfeef0608169577bc9b6b,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,149544000000000000000000,149544.0,0.261871,39161.236824
a63540ee3dc3b4e27f993ae430b32574,ethereum,2024-11-01,2024-11-07,2024-11-07 18:14:23.000 UTC,21137491.0,0x046399f70542ad788b49ed87bffb96f3dc608ca7b2c8a7fac6d133fda48836f5,279,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,36,0xd631b1e3493adc2c86cd70bfcf1fcd776dfca5e0,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,214287000000000000000000,214287.0,0.261871,56115.550977000006
998124737a977182db98e24acb3160b0,ethereum,2024-11-01,2024-11-07,2024-11-07 18:12:23.000 UTC,21137481.0,0xc367ab65bad41cd3131835c44229962683183bd686edb3ff1c7bf54a4d3c25d4,284,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,117,0x0ec26f8ccb980c07bc8aaf659afd235873c08dae,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,257145000000000000000000,257145.0,0.261871,67338.818295
09a0db6aa8c0eb33bfe5e73471301fc9,ethereum,2023-06-01,2023-06-02,2023-06-02 08:17:11.000 UTC,17391819.0,0x30bd357762e21dc0de2c577cba44d08b3fecc2156cccdcac6a2164a1d63e4a58,129,<nil>,erc20,0x3a6ed6885608ead8174789a81eb2b05600ca89f8,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,21,0xce5f7ecc0a1291c95d5b2645d72c74b186fd7ce5,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,214290000000000000000000,214290.00000000003,0.366741,78588.92889000001
eb1abb926507d3ec1f1bf5e71849e0bb,ethereum,2024-03-01,2024-03-16,2024-03-16 12:27:35.000 UTC,19447452.0,0x9ab409b9270169bcfd6479b39ba190ef399410e8d73279959f8db09435216462,93,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,39,0x1816cd259c57932edb7dd8e5a2838cc067a17cb4,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,975611000000000000000000,975611.0,0.597929,583346.109619
42a6f6702992bee6929b8b152f98b5b3,ethereum,2023-07-01,2023-07-12,2023-07-12 06:31:23.000 UTC,17675719.0,0x694018579f327f19f69303957931999c716d148847da7ab47b1ca6844c928268,68,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,48,0x8a8fb14c37c18938886ca63eaf5959b6b0734a38,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,214290000000000000000000,214290.00000000003,0.323201,69258.74229000001
bc1da7b70ae15f1ac3d7b0b15db03480,ethereum,2023-05-01,2023-05-02,2023-05-02 20:18:35.000 UTC,17175407.0,0x6e27a48ef096b5597dd6ac27d8727f09a800de92d05d354a5ff51ce80fbf55d8,325,<nil>,erc20,0x3a6ed6885608ead8174789a81eb2b05600ca89f8,0x40a2accbd92bca938b02010e17a5b8929b49130d,172,0x2a202832c5f97b4a81fb73451b11ed31bc1cb1d1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,257144000000000000000000,257144.0,0.460287,118360.04032799999
14a04772bd55b02905efb4448be4d6d8,ethereum,2022-11-01,2022-11-17,2022-11-17 20:05:59.000 UTC,15992016.0,0x85d5512a17fd557defb8a2fc93973169213a7d519b0b6afc9ecec75b36262943,268,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x40a2accbd92bca938b02010e17a5b8929b49130d,146,0x3c081d91c12dfa2acbc72e2eeb9e1140c173bf1f,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1071430000000000000000000,1071430.0,0.516932,553856.4527599999
